aX,aY,aZ,gX,gY,gZ
0.012,-0.092,1.023,-8.667,-56.885,2.136
0.004,-0.148,0.954,-15.015,-59.082,4.883
-0.020,-0.066,0.932,-22.400,-48.828,12.573
-0.026,0.077,0.956,-27.283,-39.612,18.982
-0.022,0.107,0.936,-26.123,-36.865,21.851
-0.010,0.079,0.912,-18.433,-31.799,21.606
-0.002,0.051,0.899,-9.460,-23.560,20.203
0.009,0.039,0.915,-3.052,-15.808,17.517
0.022,0.027,0.933,-1.465,-13.306,16.235
0.044,-0.010,0.981,-2.319,-13.550,14.893
0.062,-0.018,1.028,-6.653,-20.081,14.954
0.054,-0.013,1.016,-11.597,-31.006,14.954
0.035,-0.036,0.964,-13.306,-37.964,12.329
0.035,-0.025,0.931,-10.803,-38.086,8.057
0.034,-0.000,0.896,-6.348,-33.081,4.639
0.019,-0.000,0.871,-0.244,-25.024,2.441
0.021,-0.004,0.866,5.310,-17.944,1.099
0.030,-0.013,0.859,8.789,-11.780,1.282
0.025,-0.026,0.857,10.132,-7.751,1.648
0.039,-0.039,0.873,8.667,-6.897,1.526
0.051,-0.058,0.873,5.554,-7.385,0.488
0.075,-0.068,0.897,1.343,-8.240,-1.892
0.118,-0.054,0.950,-4.150,-12.390,-3.601
0.146,-0.034,0.981,-8.911,-20.996,-3.906
0.135,-0.020,0.970,-11.169,-30.396,-3.296
0.124,-0.003,0.942,-10.559,-35.461,-1.892
0.101,-0.001,0.905,-7.690,-35.034,0.122
0.062,-0.006,0.860,-3.174,-30.273,1.587
0.047,-0.001,0.844,1.831,-21.362,3.296
0.053,0.004,0.847,5.737,-10.254,6.653
0.058,-0.002,0.845,8.850,1.038,10.803
0.060,-0.011,0.881,11.841,9.888,14.038
0.079,-0.017,0.902,12.695,13.184,15.564
0.095,-0.005,0.906,13.489,13.733,16.846
0.117,0.005,0.889,14.343,13.000,18.311
0.117,0.013,0.877,15.076,12.268,20.020
0.122,0.018,0.870,15.076,10.498,21.240
0.130,0.007,0.875,15.076,7.874,21.057
0.123,-0.000,0.891,13.489,3.479,19.470
0.124,0.015,0.892,10.132,-1.770,17.395
0.106,0.026,0.885,6.348,-5.371,16.296
0.085,0.038,0.878,3.357,-7.751,15.442
0.086,0.054,0.865,1.465,-7.507,15.137
0.082,0.071,0.873,1.221,-4.639,16.052
0.085,0.094,0.894,2.747,-1.770,17.212
0.091,0.098,0.919,4.944,1.282,19.104
0.104,0.083,0.931,6.226,3.418,20.325
0.115,0.083,0.960,7.812,5.188,20.325
0.125,0.086,0.972,8.728,6.592,19.958
0.125,0.092,0.974,8.362,6.348,19.592
0.101,0.109,0.999,7.629,3.906,19.897
0.103,0.104,0.995,4.822,3.296,19.287
0.098,0.098,0.999,2.197,0.122,19.409
0.084,0.096,0.992,0.061,-2.014,19.714
0.079,0.098,0.997,-1.648,-3.174,20.569
0.080,0.092,0.997,-2.869,-3.845,21.912
0.086,0.103,0.978,-2.136,-2.808,23.499
0.086,0.101,0.968,0.671,-0.793,24.719
0.102,0.096,0.970,4.028,-0.244,25.696
0.105,0.097,0.966,5.798,-2.014,26.550
0.097,0.080,0.946,5.737,-4.700,27.344
0.082,0.060,0.923,4.333,-6.287,27.527
0.074,0.030,0.917,2.197,-5.859,26.855
0.073,0.021,0.914,0.000,-4.822,25.818
0.082,0.019,0.914,-1.038,-3.357,24.475
0.085,0.015,0.914,-0.793,-2.563,23.926
0.083,0.011,0.910,0.122,-1.831,23.987
0.083,0.008,0.917,1.465,-1.465,24.719
0.083,-0.006,0.922,1.892,-1.709,26.550
0.094,-0.027,0.926,2.380,-0.671,28.381
0.097,-0.050,0.952,3.296,0.122,28.931
0.101,-0.065,0.978,3.479,-1.526,27.527
